$\lambda_{\mathrm{norm}}$,Accuracy,Macro-F1,TPR-gap,DP-gap,Welfare $W^*$ ($\times 10^{-8}$)
0.0,0.725 ± 0.027,0.608 ± 0.033,0.027 ± 0.026,0.042 ± 0.023,-4120010879999999.50 ± 399443658661148.31
0.3,0.732 ± 0.023,0.596 ± 0.035,0.027 ± 0.019,0.039 ± 0.024,-4020010979999999.50 ± 339279944719701.94
0.6,0.729 ± 0.020,0.578 ± 0.037,0.020 ± 0.018,0.030 ± 0.022,-4060010940000000.00 ± 306231269177914.00
1.0,0.722 ± 0.019,0.546 ± 0.041,0.013 ± 0.014,0.019 ± 0.019,-4170010829999999.50 ± 290784089049812.06
1.5,0.723 ± 0.014,0.532 ± 0.042,0.011 ± 0.016,0.019 ± 0.017,-4150010850000000.00 ± 212131822223929.91
2.0,0.717 ± 0.011,0.510 ± 0.028,0.010 ± 0.015,0.018 ± 0.013,-4240010760000000.00 ± 157761969787195.56
