$\lambda_{\mathrm{norm}}$,Accuracy,Macro-F1,TPR-gap,DP-gap,Welfare $W^*$ ($\times 10^{-8}$)
0.0,0.738 ± 0.015,0.487 ± 0.020,0.023 ± 0.017,0.022 ± 0.019,-3930011070000000.50 ± 226323042966970.09
0.3,0.743 ± 0.014,0.486 ± 0.025,0.020 ± 0.016,0.021 ± 0.016,-3850011150000000.00 ± 206827687271953.50
0.6,0.745 ± 0.013,0.477 ± 0.031,0.016 ± 0.008,0.019 ± 0.012,-3830011170000000.50 ± 188856017466664.28
1.0,0.744 ± 0.010,0.466 ± 0.027,0.013 ± 0.006,0.016 ± 0.010,-3840011160000000.00 ± 142983927612777.53
1.5,0.746 ± 0.010,0.458 ± 0.025,0.006 ± 0.005,0.011 ± 0.005,-3810011190000000.00 ± 144913622548126.91
2.0,0.747 ± 0.010,0.458 ± 0.025,0.005 ± 0.005,0.010 ± 0.004,-3800011200000000.00 ± 149071049428787.47
