$\lambda_{\mathrm{norm}}$,Accuracy,Macro-F1,TPR-gap,DP-gap,Welfare $W^*$ ($\times 10^{-8}$)
0.0,0.673 ± 0.041,0.647 ± 0.046,0.065 ± 0.033,0.092 ± 0.052,-4900010100000000.00 ± 611009481650686.00
0.3,0.669 ± 0.039,0.636 ± 0.046,0.062 ± 0.033,0.085 ± 0.052,-4960010040000000.00 ± 591043682537099.75
0.6,0.664 ± 0.030,0.622 ± 0.035,0.048 ± 0.027,0.074 ± 0.039,-5040009960000000.00 ± 452646085933940.19
1.0,0.664 ± 0.025,0.613 ± 0.030,0.044 ± 0.035,0.077 ± 0.046,-5040009960000000.00 ± 368781409509937.19
1.5,0.659 ± 0.023,0.598 ± 0.032,0.034 ± 0.037,0.071 ± 0.042,-5110009890000000.00 ± 351029878753790.69
2.0,0.653 ± 0.021,0.582 ± 0.032,0.032 ± 0.037,0.068 ± 0.036,-5210009790000000.00 ± 314289007479296.00
