$\lambda_{\mathrm{norm}}$,Accuracy,Macro-F1,TPR-gap,DP-gap,Welfare $W^*$ ($\times 10^{-8}$)
0.0,0.685 ± 0.027,0.592 ± 0.037,0.062 ± 0.024,0.086 ± 0.020,-4730010270000000.00 ± 411095684725793.44
0.3,0.684 ± 0.019,0.576 ± 0.027,0.058 ± 0.024,0.082 ± 0.021,-4740010260000000.00 ± 291356687088517.00
0.6,0.686 ± 0.019,0.566 ± 0.024,0.053 ± 0.030,0.076 ± 0.022,-4710010290000000.00 ± 292308524603099.81
1.0,0.695 ± 0.020,0.556 ± 0.030,0.039 ± 0.022,0.061 ± 0.024,-4570010430000000.00 ± 294580386689794.69
1.5,0.690 ± 0.020,0.530 ± 0.034,0.033 ± 0.021,0.053 ± 0.021,-4650010350000000.00 ± 299072341676131.94
2.0,0.683 ± 0.021,0.504 ± 0.038,0.032 ± 0.018,0.045 ± 0.022,-4750010250000000.00 ± 317104642735714.25
