Accuracy,MacroF1,TPR_gap,DP_gap,Welfare,seed,lambda_norm
0.7266666666666667,0.6418379826451576,0.009523809523809601,0.07248826291079813,-41000109.0,0,0.0
0.74,0.6401992742481087,0.04761904761904767,0.08882629107981221,-39000111.0,0,0.3
0.7466666666666667,0.6226165254237288,0.024489795918367308,0.07032863849765258,-38000112.0,0,0.6
0.7533333333333333,0.6282901346192485,0.013605442176870652,0.06366197183098588,-37000113.0,0,1.0
0.7533333333333333,0.6096771924889233,0.01224489795918371,0.05107981220657276,-37000113.0,0,1.5
0.7333333333333333,0.5483288166214996,0.0013605442176870541,0.04591549295774655,-40000110.0,0,2.0
0.72,0.573055028462998,0.024528301886792447,0.01041095890410959,-42000108.0,1,0.0
0.72,0.5511541749786264,0.023396226415094312,0.011141552511415576,-42000108.0,1,0.3
0.7133333333333334,0.5213358070500927,0.012830188679245347,0.004840182648401803,-43000107.0,1,0.6
0.7133333333333334,0.49208599102291517,0.008301886792452806,0.008127853881278568,-43000107.0,1,1.0
0.72,0.496,0.0011320754716981352,0.0010958904109589218,-42000108.0,1,1.5
0.72,0.4791666666666667,0.010566037735849076,0.01296803652968026,-42000108.0,1,2.0
0.7,0.5926618791865307,0.07210884353741498,0.05623188405797097,-45000105.0,2,0.0
0.72,0.592074592074592,0.04489795918367345,0.053043478260869525,-42000108.0,2,0.3
0.7266666666666667,0.588105284307816,0.02585034013605436,0.03304347826086951,-41000109.0,2,0.6
0.7266666666666667,0.5674801322174555,0.006802721088435382,0.006376811594202891,-41000109.0,2,1.0
0.72,0.5257452574525745,0.008163265306122436,0.0020289855072463947,-42000108.0,2,1.5
0.72,0.5257452574525745,0.008163265306122436,0.0020289855072463947,-42000108.0,2,2.0
0.7266666666666667,0.621747954978781,0.015238095238095273,0.026666666666666727,-41000109.0,3,0.0
0.72,0.5828919491525424,0.023809523809523836,0.020000000000000018,-42000108.0,3,0.3
0.7266666666666667,0.588105284307816,0.013333333333333308,0.013333333333333308,-41000109.0,3,0.6
0.7066666666666667,0.5297805642633229,0.0028571428571428914,0.00666666666666671,-44000106.0,3,1.0
0.7066666666666667,0.5297805642633229,0.0028571428571428914,0.00666666666666671,-44000106.0,3,1.5
0.7066666666666667,0.5297805642633229,0.0028571428571428914,0.00666666666666671,-44000106.0,3,2.0
0.7466666666666667,0.6309246309246309,0.0014492753623188692,0.044109589041095854,-38000112.0,4,0.0
0.7666666666666667,0.6398929967761849,0.006832298136645987,0.051872146118721485,-35000115.0,4,0.3
