Accuracy,MacroF1,TPR_gap,DP_gap,Welfare,seed,lambda_norm
0.68,0.64349376114082,0.02364532019704435,0.022711864406779636,-48000102.0,0,0.0
0.68,0.6362901596282078,0.05779967159277499,0.06384180790960448,-48000102.0,0,0.3
0.68,0.6323529411764706,0.04630541871921179,0.05050847457627117,-48000102.0,0,0.6
0.68,0.6237458193979933,0.02331691297208538,0.04079096045197739,-48000102.0,0,1.0
0.6733333333333333,0.6033673304192975,0.0003284072249589709,0.02440677966101701,-49000101.0,0,1.5
0.66,0.5813953488372093,0.0003284072249589709,0.04497175141242937,-51000099.0,0,2.0
0.6466666666666666,0.6117216117216118,0.03693181818181823,0.010804597701149388,-53000097.0,1,0.0
0.6466666666666666,0.6004824363033319,0.03409090909090906,0.005287356321839076,-53000097.0,1,0.3
0.6466666666666666,0.5962622517901579,0.05397727272727271,0.02643678160919538,-53000097.0,1,0.6
0.66,0.607188703465982,0.03125,0.013103448275862073,-51000099.0,1,1.0
0.6733333333333333,0.6086053570477661,0.048295454545454586,0.0075862068965517615,-49000101.0,1,1.5
0.6666666666666666,0.5979845626072041,0.048295454545454586,0.018160919540229914,-50000100.0,1,2.0
0.6733333333333333,0.641025641025641,0.08949096880131369,0.11098591549295778,-49000101.0,2,0.0
0.6733333333333333,0.6377704400965946,0.07799671592775048,0.11173708920187797,-49000101.0,2,0.3
0.66,0.5977706504022293,0.06814449917898191,0.10215962441314552,-51000099.0,2,0.6
0.6666666666666666,0.6031746031746031,0.056650246305418706,0.09549295774647892,-50000100.0,2,1.0
0.6666666666666666,0.5979845626072041,0.0451559934318555,0.0821596244131455,-50000100.0,2,1.5
0.66,0.5813953488372093,0.0336617405582923,0.07624413145539899,-51000099.0,2,2.0
0.7266666666666667,0.7109283196239717,0.07563959955506117,0.12025157232704409,-41000109.0,3,0.0
0.7266666666666667,0.7109283196239717,0.07563959955506117,0.12025157232704409,-41000109.0,3,0.3
0.7,0.6757769345309573,0.06414534668149796,0.09911949685534593,-45000105.0,3,0.6
0.6866666666666666,0.6492362804119608,0.12643678160919536,0.140125786163522,-47000103.0,3,1.0
0.6866666666666666,0.6492362804119608,0.12643678160919536,0.140125786163522,-47000103.0,3,1.5
0.68,0.64,0.12643678160919536,0.1334591194968554,-48000102.0,3,2.0
0.6066666666666667,0.5840188014101058,0.032618825722274036,0.1013836477987422,-59000091.0,4,0.0
0.6066666666666667,0.5714493244879183,0.013668841255048192,0.06691823899371074,-59000091.0,4,0.3
0.6133333333333333,0.5769305582571485,0.0021745883814848765,0.060251572327044034,-58000092.0,4,0.6
0.6333333333333333,0.5854063018242123,0.0012426219322770882,0.051320754716981165,-55000095.0,4,1.0
0.6333333333333333,0.5854063018242123,0.0012426219322770882,0.051320754716981165,-55000095.0,4,1.5
0.6266666666666667,0.5662053294773807,0.002795899347623587,0.07459119496855349,-56000094.0,4,2.0
0.62,0.5824175824175825,0.06590909090909092,0.12,-57000093.0,5,0.0
0.62,0.5786309201123652,0.07954545454545459,0.1233333333333333,-57000093.0,5,0.3
0.6266666666666667,0.58,0.05681818181818177,0.10333333333333328,-56000094.0,5,0.6
0.62,0.5609756097560976,0.05909090909090908,0.12,-57000093.0,5,1.0
0.62,0.5504495504495505,0.036363636363636376,0.10999999999999999,-57000093.0,5,1.5
0.6133333333333333,0.5272766789828298,0.013636363636363669,0.07666666666666666,-58000092.0,5,2.0
0.6666666666666666,0.643806990881459,0.12794918330308525,0.1741242937853107,-50000100.0,6,0.0
0.6466666666666666,0.6181372784475719,0.12794918330308525,0.17107344632768362,-53000097.0,6,0.3
0.6466666666666666,0.6082006801044798,0.09346642468239563,0.14802259887005653,-53000097.0,6,0.6
0.6466666666666666,0.5962622517901579,0.05898366606170602,0.12497175141242944,-53000097.0,6,1.0
0.6533333333333333,0.592391304347826,0.024500907441016295,0.10858757062146895,-52000098.0,6,1.5
0.66,0.5926300654986953,0.027828191167574068,0.10553672316384177,-51000099.0,6,2.0
0.7066666666666667,0.6907796101949026,0.037878787878787956,0.12923076923076926,-44000106.0,7,0.0
0.6866666666666666,0.6639496639496639,0.026515151515151603,0.09589743589743593,-47000103.0,7,0.3
0.7,0.6703296703296704,0.008838383838383868,0.07512820512820506,-45000105.0,7,0.6
0.7,0.6641623961391114,0.04166666666666663,0.10615384615384615,-45000105.0,7,1.0
0.6866666666666666,0.63378525790868,0.03535353535353536,0.09128205128205125,-47000103.0,7,1.5
0.66,0.5926300654986953,0.03535353535353536,0.0838461538461539,-51000099.0,7,2.0
0.7266666666666667,0.70459676257265,0.062012987012986964,0.09764705882352942,-41000109.0,8,0.0
0.72,0.6936393697724178,0.05064935064935061,0.0776470588235294,-42000108.0,8,0.3
0.6866666666666666,0.6457108397406905,0.03928571428571426,0.05058823529411771,-47000103.0,8,0.6
0.6733333333333333,0.6182016518622409,0.01655844155844155,0.04980392156862745,-49000101.0,8,1.0
0.6333333333333333,0.5485636114911081,0.0051948051948051965,0.05529411764705883,-55000095.0,8,1.5
0.6333333333333333,0.5419465881961023,0.006168831168831157,0.04196078431372552,-55000095.0,8,2.0
0.68,0.6580547112462005,0.09407138535995163,0.035402298850574665,-48000102.0,9,0.0
0.6866666666666666,0.6525553200926519,0.072595281306715,0.009195402298850519,-47000103.0,9,0.3
0.68,0.6362901596282078,0.042952208106473155,0.02643678160919538,-48000102.0,9,0.6
0.6733333333333333,0.6225930680359435,0.028130671506352067,0.023678160919540225,-49000101.0,9,1.0
0.6666666666666666,0.6080685618729097,0.01330913490623109,0.03816091954022993,-50000100.0,9,1.5
0.6666666666666666,0.6031746031746031,0.024803387779794295,0.024827586206896624,-50000100.0,9,2.0
