λ,Accuracy,Macro-F1,TPR-gap,DP-gap,Welfare
0.0,0.738 ± 0.009,0.487 ± 0.012,0.023 ± 0.011,0.022 ± 0.012,-39300110.700 ± 1402764.753
0.3,0.743 ± 0.009,0.486 ± 0.016,0.020 ± 0.010,0.021 ± 0.010,-38500111.500 ± 1281931.287
0.6,0.745 ± 0.008,0.477 ± 0.019,0.016 ± 0.005,0.019 ± 0.008,-38300111.700 ± 1170541.723
1.0,0.744 ± 0.006,0.466 ± 0.017,0.013 ± 0.004,0.016 ± 0.006,-38400111.600 ± 886223.565
1.5,0.746 ± 0.006,0.458 ± 0.015,0.006 ± 0.003,0.011 ± 0.003,-38100111.900 ± 898183.938
2.0,0.747 ± 0.006,0.458 ± 0.015,0.005 ± 0.003,0.010 ± 0.002,-38000112.000 ± 923951.937
