Accuracy,MacroF1,TPR_gap,DP_gap,Welfare,seed,lambda_hat
0.68,0.6237458193979933,0.02331691297208538,0.04079096045197739,-48000102.0,0,1.0
0.6466666666666666,0.6117216117216118,0.03693181818181823,0.010804597701149388,-53000097.0,1,0.0
0.6666666666666666,0.5979845626072041,0.0451559934318555,0.0821596244131455,-50000100.0,2,1.5
0.7,0.6757769345309573,0.06414534668149796,0.09911949685534593,-45000105.0,3,0.6
0.6066666666666667,0.5714493244879183,0.013668841255048192,0.06691823899371074,-59000091.0,4,0.3
0.62,0.5504495504495505,0.036363636363636376,0.10999999999999999,-57000093.0,5,1.5
0.6466666666666666,0.5962622517901579,0.05898366606170602,0.12497175141242944,-53000097.0,6,1.0
0.7066666666666667,0.6907796101949026,0.037878787878787956,0.12923076923076926,-44000106.0,7,0.0
0.6733333333333333,0.6182016518622409,0.01655844155844155,0.04980392156862745,-49000101.0,8,1.0
0.6733333333333333,0.6225930680359435,0.028130671506352067,0.023678160919540225,-49000101.0,9,1.0
