Accuracy,MacroF1,TPR_gap,DP_gap,Welfare,seed,lambda_hat
0.7333333333333333,0.5483288166214996,0.0013605442176870541,0.04591549295774655,-40000110.0,0,2.0
0.7133333333333334,0.49208599102291517,0.008301886792452806,0.008127853881278568,-43000107.0,1,1.0
0.72,0.5257452574525745,0.008163265306122436,0.0020289855072463947,-42000108.0,2,1.5
0.7066666666666667,0.5297805642633229,0.0028571428571428914,0.00666666666666671,-44000106.0,3,1.0
0.74,0.5393338058114813,0.0,0.02630136986301368,-39000111.0,4,1.5
0.6933333333333334,0.5714285714285714,0.07625786163522019,0.07873873873873871,-46000104.0,5,0.0
0.7733333333333333,0.6366486178398404,0.009706959706959783,0.038279569892473164,-34000116.0,6,0.3
0.72,0.6162280701754386,0.03291404612159332,0.027619047619047654,-42000108.0,7,0.6
0.7133333333333334,0.4755671192779901,0.00036284470246739087,0.011442786069651767,-43000107.0,8,2.0
0.72,0.5114764267990075,0.0005602240896358524,0.004413145539906016,-42000108.0,9,1.5
