Accuracy,MacroF1,TPR_gap,DP_gap,Welfare,seed
0.6666666666666666,0.6211355829460496,0.00952380952380949,0.02938967136150239,-50000100.0,0
0.6733333333333333,0.571952710966164,0.03924528301886787,0.012876712328767193,-49000101.0,1
0.6,0.503968253968254,0.03265306122448974,0.028115942028985486,-60000090.0,2
0.68,0.6087806998478591,0.029523809523809508,0.020000000000000018,-48000102.0,3
0.7133333333333334,0.6363943852528327,0.03146997929606621,0.007123287671232825,-43000107.0,4
0.6066666666666667,0.49309811558508504,0.07665094339622647,0.04414414414414414,-59000091.0,5
0.6733333333333333,0.5978112175102599,0.0556776556776557,0.05591397849462365,-49000101.0,6
0.7,0.6357455075279261,0.05911949685534601,0.056190476190476235,-45000105.0,7
0.6933333333333334,0.6015246015246015,0.054426705370101525,0.04756218905472642,-46000104.0,8
0.6466666666666666,0.5518349399627938,0.04537815126050415,0.05690140845070424,-53000097.0,9
