Accuracy,MacroF1,TPR_gap,DP_gap,Welfare,seed
0.68,0.5770676691729323,0.02720720720720715,0.023603603603603585,-48000102.0,0
0.7266666666666667,0.588105284307816,0.0357142857142857,0.0045045045045044585,-41000109.0,1
0.7066666666666667,0.597953216374269,0.041594786275637285,0.05142857142857149,-44000106.0,2
0.68,0.5436105476673428,0.03253253253253252,0.003849765258215898,-48000102.0,3
0.7066666666666667,0.625,0.05279279279279281,0.06785388127853875,-44000106.0,4
0.7333333333333333,0.6114996114996115,0.036284194528875435,0.01921568627450987,-40000110.0,5
0.7133333333333334,0.6107657956671293,0.05959805959805953,0.04730593607305933,-43000107.0,6
0.6533333333333333,0.505578093306288,0.011118598382749312,0.008333333333333415,-52000098.0,7
0.68,0.5337995337995338,0.03035714285714286,0.02460093896713622,-48000102.0,8
0.6666666666666666,0.5431286549707602,0.03153153153153154,0.008732394366197105,-50000100.0,9
