Accuracy,MacroF1,TPR_gap,DP_gap,Welfare,seed,lambda_hat
0.7266666666666667,0.48280211924985283,0.014954954954955024,0.0007207207207207134,-41000109.0,0,0.0
0.76,0.4807692307692308,0.0,0.013693693693693665,-36000114.0,1,2.0
0.7466666666666667,0.4739756367663344,0.009009009009009028,0.005714285714285783,-38000112.0,2,1.5
0.7466666666666667,0.4939630681818182,0.019019019019019034,0.023004694835680795,-38000112.0,3,0.3
0.7466666666666667,0.4739756367663344,0.01099099099099099,0.020000000000000018,-38000112.0,4,1.0
0.7533333333333333,0.4547597995873858,0.0,0.008039215686274415,-37000113.0,5,1.5
0.76,0.5016611295681063,0.0,0.0073972602739725835,-36000114.0,6,2.0
0.7066666666666667,0.45436507936507936,0.06064690026954178,0.030555555555555558,-44000106.0,7,0.0
0.74,0.49019607843137253,0.024285714285714355,0.03784037558685449,-39000111.0,8,0.0
0.7333333333333333,0.4230769230769231,0.009509509509509462,0.007417840375586793,-40000110.0,9,1.5
