Accuracy,MacroF1,TPR_gap,DP_gap,Welfare,seed,lambda_norm
0.6533333333333333,0.5418233082706767,0.06518151815181517,0.04956521739130437,-52000098.0,0,0.0
0.6533333333333333,0.5248538011695907,0.06621287128712872,0.051884057971014474,-52000098.0,0,0.3
0.66,0.5200451722190853,0.06724422442244227,0.046376811594202816,-51000099.0,0,0.6
0.66,0.49918166939443537,0.04744224422442245,0.0197101449275362,-51000099.0,0,1.0
0.6533333333333333,0.4835805084745763,0.04744224422442245,0.02753623188405796,-52000098.0,0,1.5
0.6666666666666666,0.49173217674166436,0.027640264026402628,0.014202898550724652,-50000100.0,0,2.0
0.6666666666666666,0.5668745668745668,0.06851485148514858,0.10999999999999999,-50000100.0,1,0.0
0.68,0.5527950310559007,0.039009900990098934,0.0705555555555556,-48000102.0,1,0.3
0.68,0.5527950310559007,0.039009900990098934,0.0705555555555556,-48000102.0,1,0.6
0.6866666666666666,0.5384615384615385,0.029306930693069222,0.05111111111111111,-47000103.0,1,1.0
0.6866666666666666,0.4910114793155729,0.009702970297029712,0.025555555555555554,-47000103.0,1,1.5
0.6733333333333333,0.4545454545454546,0.009702970297029712,0.012222222222222245,-49000101.0,1,2.0
0.68,0.5909090909090909,0.06340846850642512,0.06173913043478263,-48000102.0,2,0.0
0.68,0.5770676691729323,0.06488308405308618,0.06405797101449284,-48000102.0,2,0.3
0.6733333333333333,0.5564540462253333,0.05498209395407627,0.058550724637681184,-49000101.0,2,0.6
0.6866666666666666,0.5483953622445712,0.057931325047398285,0.06202898550724634,-47000103.0,2,1.0
0.6933333333333334,0.543167372881356,0.03812934484937858,0.05652173913043479,-46000104.0,2,1.5
0.6933333333333334,0.5323936026023313,0.04950495049504955,0.07217391304347831,-46000104.0,2,2.0
0.7,0.6133799186665903,0.08426842684268432,0.09393939393939388,-45000105.0,3,0.0
0.6933333333333334,0.5874192776847644,0.08668866886688664,0.09090909090909083,-46000104.0,3,0.3
0.72,0.6086956521739131,0.047084708470847,0.06424242424242421,-42000108.0,3,0.6
0.7333333333333333,0.6114996114996115,0.03960396039603964,0.052727272727272734,-40000110.0,3,1.0
0.7133333333333334,0.5680128591520996,0.03960396039603964,0.047878787878787965,-43000107.0,3,1.5
0.7066666666666667,0.5297805642633229,0.01980198019801982,0.044848484848484915,-44000106.0,3,2.0
0.66,0.5618305744888024,0.035966861992321686,0.09230769230769231,-51000099.0,4,0.0
0.6733333333333333,0.571952710966164,0.03657304505960801,0.09435897435897433,-49000101.0,4,0.3
0.6666666666666666,0.5515426931356135,0.0266720549605981,0.07435897435897432,-50000100.0,4,0.6
0.6866666666666666,0.5576886881234707,0.027884421095170753,0.07179487179487176,-47000103.0,4,1.0
