educ,age,inc_q,emp_in,mobileowner,internetaccess,account,female
1,59,3,1,1,2,1,1
2,41,3,1,1,1,1,0
2,21,1,1,1,1,1,1
2,32,2,1,1,2,1,0
2,30,5,1,1,1,1,1
3,57,4,1,1,1,1,1
1,32,1,1,1,1,1,0
3,55,5,1,1,1,1,1
3,35,2,2,1,1,1,0
2,32,2,1,1,2,1,0
1,25,4,1,1,1,0,1
2,16,4,2,1,1,0,0
1,43,1,1,1,1,0,0
2,53,4,1,1,2,0,1
3,26,4,1,1,1,1,1
1,37,1,1,1,2,0,0
3,47,4,1,1,1,1,1
3,41,5,1,1,1,1,0
2,27,5,1,1,1,1,1
5,74,1,1,2,2,0,1
1,42,1,1,1,2,1,0
2,71,4,1,1,1,1,0
1,55,2,1,1,1,0,0
2,28,4,1,1,1,1,1
3,58,5,1,1,2,1,1
2,66,1,2,1,1,0,1
2,36,4,2,1,1,0,1
3,22,5,1,1,2,1,1
2,53,4,1,1,1,1,0
2,57,5,1,1,1,1,0
1,36,2,1,1,2,0,1
2,37,5,1,1,1,1,0
2,33,3,1,1,1,0,1
2,55,2,1,1,1,0,1
3,51,5,1,1,1,1,0
2,18,4,1,1,1,0,0
2,16,2,2,2,2,0,1
2,38,5,1,1,1,1,1
2,37,4,1,1,1,0,1
2,37,4,1,1,1,1,0
2,54,4,1,1,1,1,1
2,60,3,1,1,1,1,0
2,50,5,1,1,1,1,1
2,36,2,1,1,1,1,0
2,29,3,1,1,1,1,1
2,20,1,1,1,1,1,0
1,55,5,1,1,1,0,1
3,26,5,1,1,1,1,0
2,21,5,1,1,1,1,1
3,41,2,1,1,1,1,0
2,20,2,1,1,1,1,0
1,74,2,2,1,1,1,1
3,35,4,1,1,1,1,0
2,24,3,1,1,1,0,1
2,19,3,1,1,1,0,1
1,36,4,1,1,1,1,0
2,21,5,1,1,1,1,1
1,47,3,1,1,1,1,0
2,15,3,2,1,1,0,1
3,26,4,1,1,1,1,1
2,39,4,1,1,1,1,0
2,18,3,1,1,1,1,0
2,16,3,1,1,1,1,0
2,24,5,1,1,1,1,1
2,57,4,2,1,1,1,1
2,37,4,1,1,1,1,0
2,34,4,1,1,1,1,1
2,30,4,1,1,1,0,0
3,43,5,1,1,1,1,0
2,23,2,1,1,1,1,1
2,46,3,1,1,1,1,0
1,32,2,1,1,1,0,1
3,34,5,1,1,1,1,1
2,21,3,1,1,1,1,1
1,29,5,1,1,1,1,1
3,34,5,1,1,1,1,0
2,15,1,2,1,1,0,0
2,23,5,1,1,1,1,0
2,19,2,1,1,1,0,0
2,20,4,1,1,1,1,1
3,27,5,1,1,1,1,0
2,41,1,1,1,2,1,1
1,41,3,1,1,1,1,1
2,45,2,1,1,1,1,0
2,30,2,1,1,1,1,1
2,28,4,1,1,2,0,0
3,39,4,1,1,1,1,1
2,26,3,1,1,1,0,0
1,24,3,1,1,2,0,0
2,19,3,1,1,1,0,1
2,27,3,1,1,1,0,0
2,30,5,1,1,1,1,1
2,32,4,1,1,1,1,1
2,25,2,1,1,2,1,0
2,50,5,1,1,1,1,0
1,46,1,1,1,1,0,0
2,27,5,1,1,1,1,1
3,39,4,1,1,1,1,1
2,44,5,1,1,1,1,1
2,64,3,2,1,1,1,0
3,56,5,1,1,1,1,1
1,64,4,1,1,2,1,1
1,54,1,1,1,2,0,0
2,45,2,1,1,2,0,1
1,28,1,1,1,2,1,0
2,31,5,1,1,1,1,0
2,18,3,1,1,2,1,1
2,33,1,1,1,2,1,1
2,24,2,1,1,1,1,0
2,30,3,1,1,1,0,0
1,22,4,1,1,1,1,0
2,20,5,1,1,1,1,1
2,17,3,1,2,1,1,1
2,19,3,2,1,1,1,0
2,29,4,1,1,1,1,1
2,24,4,2,1,1,1,0
2,16,3,2,1,2,0,1
2,21,5,1,1,1,1,0
2,30,2,1,1,1,1,1
2,28,2,1,2,2,0,1
3,48,4,1,1,1,1,0
2,23,4,1,1,2,1,0
2,24,3,1,1,1,1,1
2,29,3,1,1,2,1,0
2,65,3,2,1,1,1,0
3,28,4,1,1,1,1,1
2,24,5,1,1,1,1,1
3,33,5,1,1,1,1,0
2,22,2,1,1,2,1,1
2,24,1,1,2,2,0,0
2,20,3,1,1,1,1,0
2,37,4,1,1,1,0,0
1,42,2,1,1,2,1,1
2,29,2,1,1,2,1,0
1,20,1,1,1,1,0,1
2,60,4,1,1,1,0,1
2,32,2,1,1,1,0,0
1,72,3,2,2,2,0,0
2,32,3,1,1,1,1,1
1,34,1,2,1,2,1,0
2,55,5,1,1,1,1,0
