educ,age,inc_q,emp_in,mobileowner,internetaccess,account,female
2,68,5,1,1,1,1,1
1,56,3,1,1,1,1,1
2,25,3,1,1,2,1,0
2,27,5,1,1,1,1,0
2,59,4,2,1,1,0,0
2,16,1,1,1,2,0,0
2,25,2,1,1,1,0,1
2,27,3,1,1,1,1,0
3,35,2,1,1,1,1,1
1,44,4,1,1,1,1,1
2,48,2,1,1,2,0,1
4,81,4,2,2,2,0,0
2,36,3,1,1,1,0,0
1,79,5,2,1,1,1,1
3,34,5,1,1,1,1,1
3,58,5,1,1,1,1,1
2,31,1,1,1,2,1,0
3,37,5,1,1,1,1,1
2,26,5,1,1,1,1,1
2,21,3,1,1,1,0,0
2,30,5,1,1,1,1,0
2,35,3,1,1,1,1,0
1,59,1,1,2,2,0,1
2,24,1,2,1,1,0,0
1,56,4,1,1,1,1,1
1,65,1,1,1,2,0,1
2,30,4,1,1,1,1,0
2,31,4,1,1,1,0,0
1,50,2,1,1,2,1,1
2,16,1,1,2,2,0,0
1,69,4,2,2,2,1,0
2,63,2,2,1,1,0,0
2,35,4,1,1,1,1,1
2,44,4,1,1,1,0,0
3,44,5,1,1,1,1,0
2,59,2,1,1,1,1,0
4,72,4,2,2,2,0,0
1,60,3,2,1,2,1,0
2,18,5,1,1,1,1,1
3,62,5,1,1,1,1,0
3,33,5,1,1,1,1,1
2,18,5,2,1,1,0,0
2,15,1,2,1,1,1,1
1,35,2,1,1,2,0,1
3,49,5,1,1,1,1,1
1,67,2,1,2,2,0,1
2,56,4,2,1,2,1,0
2,32,4,1,1,1,1,1
2,26,1,1,1,2,0,0
2,19,1,1,1,2,0,0
2,38,2,1,1,2,1,1
2,43,2,1,1,1,0,0
2,36,3,1,1,1,1,1
2,35,5,1,1,1,1,1
3,34,5,1,1,1,1,1
2,37,4,1,1,1,0,1
2,27,3,1,1,1,1,1
2,28,4,1,1,1,0,1
3,28,5,1,1,1,1,1
2,20,2,2,2,2,0,0
2,24,3,2,1,2,1,1
3,60,4,1,1,2,1,1
2,20,3,1,1,1,0,0
3,30,5,1,1,1,1,0
3,44,5,1,1,1,1,1
2,22,5,1,1,1,1,1
2,20,4,1,1,1,0,0
3,55,5,1,1,1,1,1
2,25,4,2,1,1,1,0
2,64,5,2,1,2,1,1
2,26,2,1,1,1,0,1
1,48,4,2,1,2,0,0
2,26,2,1,1,1,0,0
3,58,5,1,1,1,1,1
1,43,2,1,1,1,0,1
1,35,1,1,1,2,0,0
2,25,3,1,1,1,1,1
2,23,3,1,2,1,1,0
2,23,5,1,1,1,0,0
1,63,2,1,1,1,0,1
2,18,5,2,1,1,1,1
3,44,5,1,1,1,1,0
2,33,2,1,1,2,1,0
2,65,2,1,1,2,1,0
2,65,5,2,1,1,0,0
1,71,4,2,2,2,0,0
2,15,4,2,1,1,1,0
1,40,5,1,1,1,1,1
2,77,2,2,1,2,0,1
