educ,age,inc_q,emp_in,mobileowner,internetaccess,account,female
3,42,5,1,1,1,1,0
2,20,3,2,1,2,0,1
2,34,4,1,2,2,0,1
2,32,5,1,1,1,1,0
2,27,3,1,1,2,1,1
2,44,1,1,1,1,0,0
2,32,1,2,1,2,0,0
2,24,5,1,1,1,1,0
2,33,5,1,1,1,1,1
1,45,2,1,2,2,1,0
2,35,2,1,1,1,1,1
2,40,1,1,1,2,1,0
2,30,2,1,1,1,1,0
3,26,1,1,1,1,1,0
1,84,5,2,2,2,1,1
3,30,3,1,1,1,1,0
3,44,5,1,1,1,1,1
2,47,4,1,2,2,0,0
1,59,1,1,2,2,1,0
2,52,2,1,1,1,1,1
1,44,2,1,1,1,0,0
2,61,3,1,1,2,1,0
2,48,3,1,1,1,1,0
2,35,1,1,1,2,0,1
1,44,1,1,1,2,1,0
1,79,2,2,2,2,0,0
2,16,1,1,1,1,1,0
2,55,5,1,1,1,0,1
2,33,1,2,2,2,1,0
2,25,2,1,1,1,1,0
2,15,4,2,1,1,0,0
2,37,1,1,2,2,1,0
1,47,1,1,1,2,1,1
2,44,3,1,1,1,0,0
2,55,5,1,1,1,1,1
1,50,1,1,2,2,0,0
2,70,3,2,1,1,1,0
1,63,1,1,2,2,0,0
2,25,1,1,1,1,1,0
2,34,5,1,1,1,1,0
1,76,2,2,2,2,0,0
2,17,1,1,1,1,0,1
2,25,2,1,1,2,1,0
2,28,1,1,1,1,0,0
1,23,3,1,1,1,1,0
2,41,2,1,1,2,0,1
2,35,3,1,1,2,0,1
1,63,4,2,1,2,1,0
2,44,1,1,1,2,0,1
2,59,5,1,1,2,1,1
2,36,4,2,1,1,1,0
2,49,4,2,1,2,0,0
2,32,4,1,1,1,0,0
2,37,4,1,1,2,1,1
2,21,5,1,1,1,1,1
2,32,3,2,1,1,0,0
2,38,4,1,1,1,1,1
2,39,3,1,1,2,0,0
2,46,5,1,1,1,1,0
2,38,3,1,1,1,1,0
1,32,2,1,1,2,1,1
2,17,1,2,1,1,0,1
2,42,2,1,1,1,1,0
4,42,1,1,2,2,0,1
2,19,4,2,1,1,0,0
2,19,2,2,1,1,0,0
2,20,4,1,1,1,1,1
2,51,3,1,1,1,1,0
2,17,5,2,1,1,0,0
2,42,3,1,1,1,0,1
2,30,4,1,1,1,1,0
2,79,5,1,1,1,1,1
2,42,5,1,1,1,0,1
2,22,3,1,1,1,1,1
2,25,1,1,1,1,0,1
2,48,2,2,1,2,0,0
2,58,1,1,1,2,0,0
2,56,5,1,1,1,1,0
2,49,3,2,1,1,1,0
2,31,3,1,1,1,1,1
2,54,5,1,2,2,1,1
2,15,2,1,1,1,1,0
2,22,4,1,1,1,1,1
1,42,2,1,1,1,0,0
2,68,4,1,1,2,0,1
3,24,5,1,1,1,1,0
2,20,1,1,1,1,1,1
2,40,3,2,1,2,1,0
2,31,2,2,1,1,1,0
2,24,3,2,1,1,0,0
2,25,2,1,1,1,1,0
2,28,5,1,1,1,1,1
2,60,5,1,1,2,1,1
2,20,4,1,1,1,1,0
1,85,5,2,2,2,1,0
2,24,3,1,1,1,1,0
2,26,3,2,1,1,0,0
2,23,3,1,1,1,0,0
1,40,2,1,1,2,1,0
2,17,4,1,1,1,1,0
2,57,5,1,1,2,0,1
2,27,4,1,1,1,1,1
2,42,4,1,1,1,1,0
2,19,5,1,1,2,1,0
2,18,4,2,1,1,1,1
2,20,3,1,1,1,1,1
2,22,3,1,1,1,1,0
2,51,2,1,1,1,1,1
2,15,2,1,1,1,0,1
2,66,5,2,1,2,1,1
2,31,2,1,1,1,1,0
2,45,5,2,1,1,1,1
2,18,3,2,1,1,0,1
2,38,2,1,2,2,0,0
2,44,5,1,1,1,1,0
2,47,4,1,1,1,1,1
1,62,5,1,1,2,0,1
2,55,4,1,1,2,0,1
3,24,2,1,1,1,1,1
1,51,1,1,2,2,0,1
3,33,5,1,1,1,1,1
2,28,2,1,1,1,1,1
2,25,3,1,1,1,1,1
2,47,5,1,2,1,1,0
2,35,4,1,1,1,1,1
3,75,5,1,1,1,1,1
1,89,3,2,2,2,0,0
2,35,3,1,1,1,0,1
1,65,4,1,1,1,1,0
2,30,5,2,1,1,0,0
2,70,4,2,2,2,0,0
2,73,5,2,1,2,0,0
2,40,5,1,1,1,1,0
1,51,4,1,1,2,0,0
1,63,2,2,2,2,0,0
3,65,5,1,1,1,1,0
2,17,4,1,1,1,0,1
2,16,4,1,1,1,1,1
2,25,1,1,1,1,1,1
2,19,4,1,1,1,1,1
2,22,5,1,1,1,1,0
1,53,1,1,2,2,0,0
2,43,4,1,1,1,0,0
2,63,5,1,1,2,1,1
2,38,1,2,1,1,1,0
3,28,5,1,1,1,1,0
2,32,3,1,1,1,1,0
3,61,5,1,1,1,1,1
3,35,5,1,1,1,1,0
2,24,4,1,2,2,1,1
2,29,2,1,2,2,1,0
2,24,3,1,1,1,1,0
1,47,5,1,1,1,0,1
3,38,5,1,1,1,1,1
2,35,4,1,1,1,1,0
2,18,5,2,1,1,0,1
2,45,3,1,1,1,1,1
2,80,3,1,2,2,0,0
2,42,4,1,1,1,1,0
2,25,4,1,1,1,1,1
2,21,4,2,1,1,0,0
2,39,4,1,1,1,0,1
2,90,5,2,1,1,1,1
1,50,1,2,2,2,0,0
2,72,5,1,1,2,0,1
2,24,5,1,1,1,1,0
2,21,2,2,1,1,1,1
2,33,3,1,1,1,1,0
2,17,4,1,1,1,0,1
1,31,2,1,1,1,1,0
1,28,2,1,1,2,0,1
2,36,4,1,1,1,1,0
2,42,5,1,1,1,1,1
2,43,3,1,1,1,1,0
2,45,2,1,1,1,1,0
1,55,4,1,1,2,0,0
1,40,2,2,1,2,0,0
2,35,4,1,1,1,1,1
2,26,1,1,2,2,0,1
1,67,2,1,1,2,0,0
2,15,4,2,1,1,0,1
2,40,2,1,2,1,1,1
2,30,4,2,1,1,0,0
2,35,5,1,1,1,1,1
1,34,3,2,2,1,0,0
2,48,3,1,1,1,0,0
2,61,2,2,2,1,1,0
2,48,1,1,1,2,0,0
2,46,1,1,1,2,0,1
2,76,5,2,2,2,0,0
2,46,1,1,1,1,1,1
2,54,1,1,1,2,0,0
2,45,3,1,1,1,0,0
2,29,4,1,1,1,0,0
2,34,3,1,1,1,0,1
2,28,2,1,1,2,1,1
1,76,5,1,2,2,0,0
2,72,1,1,1,2,0,0
1,25,3,1,2,2,0,1
2,20,4,1,1,1,1,1
1,15,3,1,1,1,1,1
2,35,4,1,2,2,1,1
2,35,5,1,1,1,1,0
2,44,2,1,1,1,1,1
2,48,3,1,1,2,0,1
3,46,5,1,1,1,1,1
2,32,4,1,1,1,1,0
1,22,4,1,1,2,0,1
2,33,5,1,1,1,1,0
1,70,1,2,1,1,0,0
1,75,2,2,1,1,1,0
2,48,5,1,1,1,1,0
2,61,3,1,1,2,1,0
2,22,5,1,1,1,0,1
2,53,5,1,1,1,1,1
2,58,5,1,1,1,1,1
2,16,3,2,1,1,0,1
2,34,2,1,1,1,0,0
2,18,3,1,1,1,1,0
2,48,4,1,1,2,0,1
2,31,4,1,1,1,1,1
2,35,3,1,1,2,0,1
2,35,4,1,1,1,1,0
2,84,2,1,2,2,1,0
1,68,1,1,1,2,0,1
3,33,5,1,1,1,0,0
3,23,5,2,1,1,1,0
1,37,3,2,1,2,0,0
2,32,5,1,1,1,1,0
3,28,5,1,1,1,1,1
2,17,3,2,1,1,0,0
2,31,5,1,1,1,1,0
2,42,5,1,1,1,0,0
2,40,4,1,1,1,0,1
2,40,4,1,1,1,1,0
2,20,5,2,1,1,1,1
2,19,5,1,1,1,1,0
3,58,4,1,1,1,1,1
1,67,2,2,2,2,0,0
2,39,2,1,1,1,0,0
2,16,2,2,1,1,0,0
2,41,4,2,1,1,1,0
2,18,5,1,1,1,1,1
2,21,2,2,1,1,1,0
3,71,4,2,1,1,1,1
3,22,2,1,1,1,1,0
1,59,1,1,1,2,0,0
3,56,5,1,1,1,1,0
2,31,1,1,1,2,0,0
